# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 2.500000e-01
# Aref        : 4.909395e-02
# CofR        : (-1.450300e-05 2.286240e-06 -1.313550e-04)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
108           	6.410379e-05	3.871196e-01	-1.346123e-03	-6.089580e-04	-7.371655e-04
109           	6.444179e-05	3.875508e-01	-2.010358e-03	-9.407374e-04	-1.069621e-03
110           	6.299563e-05	3.876620e-01	-2.445138e-03	-1.159573e-03	-1.285565e-03
111           	6.227680e-05	3.871894e-01	-2.906916e-03	-1.391181e-03	-1.515735e-03
112           	5.995609e-05	3.863385e-01	-3.442393e-03	-1.661240e-03	-1.781152e-03
113           	5.801165e-05	3.851473e-01	-3.920273e-03	-1.902125e-03	-2.018148e-03
114           	5.665516e-05	3.836568e-01	-4.017696e-03	-1.952193e-03	-2.065503e-03
115           	5.638623e-05	3.818045e-01	-4.243079e-03	-2.065153e-03	-2.177926e-03
116           	5.511762e-05	3.798503e-01	-4.528385e-03	-2.209075e-03	-2.319310e-03
117           	5.516631e-05	3.778218e-01	-4.598280e-03	-2.243974e-03	-2.354306e-03
118           	5.479352e-05	3.757541e-01	-4.521623e-03	-2.206018e-03	-2.315605e-03
119           	5.508219e-05	3.737801e-01	-4.419654e-03	-2.154745e-03	-2.264909e-03
120           	5.448999e-05	3.718473e-01	-4.237744e-03	-2.064382e-03	-2.173362e-03
121           	5.342747e-05	3.701444e-01	-3.996538e-03	-1.944841e-03	-2.051696e-03
122           	5.315601e-05	3.686189e-01	-3.430034e-03	-1.661861e-03	-1.768173e-03
123           	5.442051e-05	3.673555e-01	-2.975427e-03	-1.433293e-03	-1.542134e-03
124           	5.610958e-05	3.664549e-01	-2.406843e-03	-1.147312e-03	-1.259531e-03
125           	5.785054e-05	3.660196e-01	-2.038358e-03	-9.613284e-04	-1.077029e-03
126           	6.053207e-05	3.659011e-01	-1.408691e-03	-6.438135e-04	-7.648777e-04
127           	6.404051e-05	3.661786e-01	-1.019145e-03	-4.455318e-04	-5.736128e-04
128           	6.746662e-05	3.668271e-01	-5.683390e-04	-2.167029e-04	-3.516361e-04
129           	6.996817e-05	3.678209e-01	-4.718680e-04	-1.659658e-04	-3.059022e-04
130           	7.258962e-05	3.688381e-01	-1.842733e-04	-1.954703e-05	-1.647263e-04
131           	7.494137e-05	3.700644e-01	-1.028714e-04	2.350568e-05	-1.263771e-04
132           	7.686483e-05	3.713147e-01	4.665668e-05	1.001932e-04	-5.353649e-05
133           	7.783745e-05	3.726299e-01	-4.658571e-05	5.454460e-05	-1.011303e-04
134           	7.844661e-05	3.737930e-01	2.130253e-05	8.909788e-05	-6.779534e-05
135           	7.828775e-05	3.748092e-01	-9.601912e-05	3.027819e-05	-1.262973e-04
136           	7.817764e-05	3.758095e-01	-5.258145e-05	5.188692e-05	-1.044684e-04
137           	7.697591e-05	3.767694e-01	-1.590982e-04	-2.573188e-06	-1.565250e-04
138           	7.577678e-05	3.775705e-01	-4.726659e-05	5.214348e-05	-9.941007e-05
139           	7.508041e-05	3.783379e-01	4.418381e-05	9.717232e-05	-5.298851e-05
140           	7.310337e-05	3.790827e-01	6.787206e-05	1.070394e-04	-3.916734e-05
141           	7.173451e-05	3.798968e-01	2.968756e-04	2.201723e-04	7.670328e-05
142           	7.092338e-05	3.807139e-01	4.909463e-04	3.163965e-04	1.745498e-04
143           	6.759116e-05	3.814438e-01	5.401828e-04	3.376825e-04	2.025002e-04
144           	6.548130e-05	3.821778e-01	6.454578e-04	3.882102e-04	2.572476e-04
145           	6.451875e-05	3.829341e-01	1.002820e-03	5.659290e-04	4.368914e-04
146           	6.304238e-05	3.834915e-01	1.026410e-03	5.762474e-04	4.501627e-04
147           	6.000926e-05	3.839344e-01	1.009796e-03	5.649070e-04	4.448885e-04
148           	5.850805e-05	3.842167e-01	9.867008e-04	5.518584e-04	4.348424e-04
149           	5.786029e-05	3.843935e-01	1.091182e-03	6.034511e-04	4.877306e-04
150           	5.670014e-05	3.843641e-01	9.163266e-04	5.148634e-04	4.014632e-04
151           	5.491158e-05	3.839894e-01	7.937791e-04	4.518011e-04	3.419779e-04
152           	5.402486e-05	3.835245e-01	5.614971e-04	3.347734e-04	2.267237e-04
153           	5.389476e-05	3.828203e-01	4.839296e-04	2.958596e-04	1.880701e-04
154           	5.346018e-05	3.820313e-01	4.692966e-04	2.881085e-04	1.811881e-04
155           	5.390184e-05	3.809730e-01	5.002094e-04	3.040065e-04	1.962029e-04
156           	5.429264e-05	3.799424e-01	4.856258e-04	2.971055e-04	1.885203e-04
157           	5.531669e-05	3.788096e-01	5.154558e-04	3.130446e-04	2.024112e-04
158           	5.648825e-05	3.776974e-01	7.493274e-04	4.311520e-04	3.181755e-04
159           	5.816253e-05	3.765725e-01	6.847259e-04	4.005255e-04	2.842004e-04
160           	6.027428e-05	3.756353e-01	8.606400e-04	4.905943e-04	3.700457e-04
161           	6.076156e-05	3.747675e-01	1.009671e-03	5.655970e-04	4.440739e-04
162           	6.202672e-05	3.741075e-01	1.295419e-03	7.097364e-04	5.856829e-04
163           	6.275315e-05	3.736348e-01	1.533441e-03	8.294735e-04	7.039672e-04
164           	6.377396e-05	3.734609e-01	1.935745e-03	1.031647e-03	9.040988e-04
165           	6.350289e-05	3.734039e-01	2.217937e-03	1.172472e-03	1.045466e-03
166           	6.455603e-05	3.736165e-01	2.560629e-03	1.344871e-03	1.215759e-03
167           	6.459432e-05	3.739581e-01	2.728737e-03	1.428963e-03	1.299774e-03
168           	6.460956e-05	3.745274e-01	2.885185e-03	1.507202e-03	1.377983e-03
169           	6.435465e-05	3.750287e-01	3.077085e-03	1.602897e-03	1.474188e-03
170           	6.379066e-05	3.756715e-01	3.073433e-03	1.600507e-03	1.472926e-03
171           	6.415686e-05	3.763760e-01	3.354737e-03	1.741525e-03	1.613212e-03
172           	6.236752e-05	3.770684e-01	3.344237e-03	1.734486e-03	1.609751e-03
173           	5.982937e-05	3.777648e-01	3.245756e-03	1.682707e-03	1.563049e-03
174           	5.883494e-05	3.784899e-01	3.418228e-03	1.767949e-03	1.650279e-03
175           	5.789732e-05	3.791864e-01	3.520752e-03	1.818273e-03	1.702479e-03
176           	5.462996e-05	3.798631e-01	3.300723e-03	1.704992e-03	1.595732e-03
177           	5.312829e-05	3.806122e-01	3.282152e-03	1.694204e-03	1.587948e-03
178           	5.145292e-05	3.813405e-01	3.139752e-03	1.621329e-03	1.518423e-03
179           	4.898868e-05	3.821307e-01	2.873553e-03	1.485765e-03	1.387788e-03
180           	4.709207e-05	3.828142e-01	2.814733e-03	1.454459e-03	1.360275e-03
181           	4.623687e-05	3.835033e-01	2.674104e-03	1.383289e-03	1.290815e-03
182           	4.404855e-05	3.842153e-01	2.270695e-03	1.179396e-03	1.091299e-03
183           	4.346351e-05	3.848572e-01	2.047892e-03	1.067410e-03	9.804827e-04
184           	4.207420e-05	3.853408e-01	1.714565e-03	8.993568e-04	8.152084e-04
185           	4.090598e-05	3.857657e-01	1.184198e-03	6.330052e-04	5.511932e-04
186           	4.016813e-05	3.860921e-01	7.240917e-04	4.022140e-04	3.218777e-04
187           	3.925387e-05	3.862612e-01	3.846261e-04	2.315669e-04	1.530592e-04
188           	3.823098e-05	3.862370e-01	-1.321277e-04	-2.783286e-05	-1.042948e-04
189           	3.792267e-05	3.859910e-01	-4.678910e-04	-1.960228e-04	-2.718682e-04
190           	3.662490e-05	3.855839e-01	-9.922052e-04	-4.594777e-04	-5.327275e-04
191           	3.572553e-05	3.849626e-01	-1.116856e-03	-5.227022e-04	-5.941533e-04
192           	3.584651e-05	3.841819e-01	-1.376804e-03	-6.525554e-04	-7.242484e-04
193           	3.662409e-05	3.831325e-01	-1.509701e-03	-7.182267e-04	-7.914748e-04
194           	3.551491e-05	3.819071e-01	-1.834226e-03	-8.815983e-04	-9.526281e-04
195           	3.547418e-05	3.805810e-01	-1.814472e-03	-8.717619e-04	-9.427103e-04
196           	3.533526e-05	3.792251e-01	-1.760749e-03	-8.450392e-04	-9.157097e-04
197           	3.390502e-05	3.778493e-01	-1.825589e-03	-8.788895e-04	-9.466996e-04
198           	3.229609e-05	3.764470e-01	-1.655682e-03	-7.955447e-04	-8.601368e-04
199           	3.009770e-05	3.752026e-01	-1.614264e-03	-7.770344e-04	-8.372298e-04
200           	2.871188e-05	3.741599e-01	-1.238872e-03	-5.907239e-04	-6.481477e-04
201           	2.535623e-05	3.733166e-01	-9.988979e-04	-4.740927e-04	-5.248052e-04
202           	2.384140e-05	3.726607e-01	-6.143571e-04	-2.833371e-04	-3.310199e-04
203           	1.997294e-05	3.722958e-01	-3.767048e-04	-1.683795e-04	-2.083254e-04
204           	1.706561e-05	3.722034e-01	6.325580e-06	2.022840e-05	-1.390282e-05
205           	1.374804e-05	3.723084e-01	4.009031e-04	2.141996e-04	1.867035e-04
206           	1.129140e-05	3.725784e-01	6.137193e-04	3.181511e-04	2.955683e-04
207           	8.183599e-06	3.730590e-01	7.904460e-04	4.034066e-04	3.870394e-04
208           	4.315096e-06	3.735886e-01	8.310243e-04	4.198272e-04	4.111970e-04
209           	1.341976e-06	3.742158e-01	8.419370e-04	4.223105e-04	4.196265e-04
210           	-1.672610e-06	3.748623e-01	7.957939e-04	3.962243e-04	3.995695e-04
211           	-5.194157e-06	3.754705e-01	6.789577e-04	3.342847e-04	3.446730e-04
212           	-8.774725e-06	3.761112e-01	3.516568e-04	1.670537e-04	1.846031e-04
213           	-1.164290e-05	3.767698e-01	1.632935e-04	7.000384e-05	9.328963e-05
214           	-1.463635e-05	3.773083e-01	-1.454296e-06	-1.536350e-05	1.390921e-05
215           	-1.777870e-05	3.778763e-01	-4.153031e-04	-2.254302e-04	-1.898729e-04
216           	-2.011356e-05	3.784334e-01	-7.231303e-04	-3.816787e-04	-3.414516e-04
217           	-2.281020e-05	3.790088e-01	-1.208229e-03	-6.269245e-04	-5.813041e-04
218           	-2.450477e-05	3.795747e-01	-1.526127e-03	-7.875684e-04	-7.385589e-04
219           	-2.527472e-05	3.800336e-01	-1.969644e-03	-1.010097e-03	-9.595474e-04
220           	-2.577791e-05	3.805634e-01	-2.409380e-03	-1.230468e-03	-1.178912e-03
221           	-2.821582e-05	3.810302e-01	-3.124213e-03	-1.590322e-03	-1.533891e-03
222           	-2.748917e-05	3.815041e-01	-3.500203e-03	-1.777591e-03	-1.722612e-03
223           	-2.735758e-05	3.818511e-01	-3.996961e-03	-2.025838e-03	-1.971123e-03
224           	-2.824529e-05	3.821985e-01	-4.607248e-03	-2.331870e-03	-2.275379e-03
225           	-2.817828e-05	3.823475e-01	-5.036101e-03	-2.546229e-03	-2.489872e-03
226           	-2.728890e-05	3.824327e-01	-5.146617e-03	-2.600597e-03	-2.546019e-03
227           	-2.733526e-05	3.822742e-01	-5.491574e-03	-2.773122e-03	-2.718451e-03
228           	-2.631421e-05	3.819313e-01	-5.748159e-03	-2.900394e-03	-2.847765e-03
229           	-2.472296e-05	3.814637e-01	-5.866082e-03	-2.957764e-03	-2.908318e-03
230           	-2.470449e-05	3.807313e-01	-6.015982e-03	-3.032696e-03	-2.983287e-03
231           	-2.170606e-05	3.798238e-01	-5.967473e-03	-3.005443e-03	-2.962031e-03
232           	-1.956569e-05	3.787949e-01	-5.951855e-03	-2.995493e-03	-2.956362e-03
233           	-1.764152e-05	3.775076e-01	-5.958720e-03	-2.997001e-03	-2.961718e-03
234           	-1.686531e-05	3.761319e-01	-5.813590e-03	-2.923660e-03	-2.889930e-03
235           	-1.442636e-05	3.746647e-01	-5.508211e-03	-2.768532e-03	-2.739679e-03
236           	-1.312258e-05	3.731195e-01	-5.079612e-03	-2.552929e-03	-2.526684e-03
237           	-1.204925e-05	3.715446e-01	-4.618485e-03	-2.321292e-03	-2.297193e-03
238           	-1.062101e-05	3.700274e-01	-4.065914e-03	-2.043578e-03	-2.022336e-03
239           	-9.939026e-06	3.686051e-01	-3.548622e-03	-1.784250e-03	-1.764372e-03
240           	-9.966224e-06	3.674006e-01	-2.919438e-03	-1.469685e-03	-1.449753e-03
241           	-9.020694e-06	3.664654e-01	-2.361921e-03	-1.189981e-03	-1.171940e-03
242           	-1.010157e-05	3.658290e-01	-2.028506e-03	-1.024355e-03	-1.004152e-03
243           	-1.019850e-05	3.654838e-01	-1.648024e-03	-8.342103e-04	-8.138133e-04
244           	-1.129082e-05	3.654646e-01	-1.383600e-03	-7.030911e-04	-6.805094e-04
245           	-1.247462e-05	3.656200e-01	-1.359540e-03	-6.922447e-04	-6.672954e-04
246           	-1.313115e-05	3.660342e-01	-1.299171e-03	-6.627169e-04	-6.364546e-04
247           	-1.435388e-05	3.666217e-01	-1.355475e-03	-6.920916e-04	-6.633839e-04
248           	-1.554922e-05	3.671562e-01	-1.512706e-03	-7.719023e-04	-7.408038e-04
249           	-1.575504e-05	3.676731e-01	-1.648803e-03	-8.401567e-04	-8.086467e-04
250           	-1.644574e-05	3.682695e-01	-1.915545e-03	-9.742184e-04	-9.413269e-04
251           	-1.811505e-05	3.688051e-01	-2.263922e-03	-1.150076e-03	-1.113846e-03
252           	-1.786992e-05	3.692694e-01	-2.390558e-03	-1.213149e-03	-1.177409e-03
253           	-1.587941e-05	3.695888e-01	-2.508433e-03	-1.270096e-03	-1.238337e-03
254           	-1.467748e-05	3.699936e-01	-2.841033e-03	-1.435194e-03	-1.405839e-03
255           	-1.082856e-05	3.703420e-01	-2.863230e-03	-1.442444e-03	-1.420786e-03
256           	-7.333611e-06	3.707348e-01	-2.827016e-03	-1.420842e-03	-1.406174e-03
257           	-2.500137e-06	3.709994e-01	-2.900139e-03	-1.452570e-03	-1.447569e-03
258           	4.670410e-06	3.713986e-01	-2.882919e-03	-1.436789e-03	-1.446130e-03
259           	1.095550e-05	3.718231e-01	-2.979157e-03	-1.478623e-03	-1.500534e-03
260           	1.380463e-05	3.723818e-01	-2.893077e-03	-1.432734e-03	-1.460343e-03
261           	1.185153e-05	3.730285e-01	-2.833240e-03	-1.404768e-03	-1.428472e-03
262           	1.221886e-05	3.736109e-01	-2.791756e-03	-1.383659e-03	-1.408097e-03
263           	3.809430e-06	3.743101e-01	-2.797950e-03	-1.395166e-03	-1.402785e-03
264           	-5.587941e-06	3.750403e-01	-2.704350e-03	-1.357763e-03	-1.346587e-03
265           	-2.352771e-05	3.756674e-01	-2.380667e-03	-1.213861e-03	-1.166806e-03
266           	-4.678215e-05	3.762095e-01	-2.109171e-03	-1.101368e-03	-1.007803e-03
267           	-7.016992e-05	3.767258e-01	-2.147541e-03	-1.143940e-03	-1.003600e-03
268           	-9.636046e-05	3.771612e-01	-1.986262e-03	-1.089491e-03	-8.967704e-04
269           	-1.252638e-04	3.773243e-01	-1.693215e-03	-9.718715e-04	-7.213440e-04
270           	-1.573046e-04	3.773201e-01	-1.470073e-03	-8.923413e-04	-5.777322e-04
271           	-1.932560e-04	3.772368e-01	-1.330789e-03	-8.586504e-04	-4.721385e-04
272           	-2.279496e-04	3.770843e-01	-1.184897e-03	-8.203979e-04	-3.644987e-04
273           	-2.587858e-04	3.767807e-01	-1.057550e-03	-7.875609e-04	-2.699894e-04
274           	-2.893882e-04	3.762509e-01	-9.197103e-04	-7.492434e-04	-1.704669e-04
275           	-3.112442e-04	3.757869e-01	-7.961411e-04	-7.093147e-04	-8.682640e-05
276           	-3.285280e-04	3.752773e-01	-6.754256e-04	-6.662408e-04	-9.184858e-06
277           	-3.438435e-04	3.748876e-01	-5.857746e-04	-6.367308e-04	5.095619e-05
278           	-3.549009e-04	3.744872e-01	-4.953276e-04	-6.025647e-04	1.072371e-04
279           	-3.539253e-04	3.743082e-01	-3.866507e-04	-5.472507e-04	1.606000e-04
280           	-3.421947e-04	3.743114e-01	-1.626806e-04	-4.235350e-04	2.608543e-04
281           	-3.215656e-04	3.744186e-01	5.691751e-05	-2.931068e-04	3.500243e-04
282           	-2.959473e-04	3.747550e-01	5.861286e-05	-2.666409e-04	3.252538e-04
283           	-2.695686e-04	3.752312e-01	1.232466e-05	-2.634063e-04	2.757310e-04
284           	-2.382578e-04	3.758207e-01	3.520560e-05	-2.206550e-04	2.558606e-04
285           	-2.082346e-04	3.764402e-01	-4.455446e-06	-2.104624e-04	2.060069e-04
286           	-1.809973e-04	3.771053e-01	-1.272250e-04	-2.446098e-04	1.173848e-04
287           	-1.543117e-04	3.777655e-01	-2.356708e-04	-2.721471e-04	3.647629e-05
288           	-1.294662e-04	3.784134e-01	-2.693349e-04	-2.641337e-04	-5.201208e-06
289           	-1.071424e-04	3.790033e-01	-2.671060e-04	-2.406954e-04	-2.641059e-05
290           	-8.528928e-05	3.795731e-01	-2.903453e-04	-2.304620e-04	-5.988339e-05
291           	-6.603539e-05	3.801198e-01	-3.904616e-04	-2.612662e-04	-1.291954e-04
292           	-4.857899e-05	3.806444e-01	-4.650357e-04	-2.810969e-04	-1.839389e-04
293           	-3.247178e-05	3.810270e-01	-5.319275e-04	-2.984355e-04	-2.334919e-04
294           	-1.970318e-05	3.814271e-01	-5.762682e-04	-3.078373e-04	-2.684309e-04
295           	-9.401095e-06	3.817763e-01	-7.142189e-04	-3.665105e-04	-3.477083e-04
296           	6.295586e-07	3.822198e-01	-6.027625e-04	-3.007517e-04	-3.020108e-04
297           	8.734195e-06	3.824737e-01	-5.962709e-04	-2.894013e-04	-3.068696e-04
298           	1.403310e-05	3.828353e-01	-5.695749e-04	-2.707543e-04	-2.988205e-04
